Name,aosId,aosLink,iosName,iosId,iosLink
boolileo,com.doomoolmori.boolileo,https://play.google.com/store/apps/details?id=com.doomoolmori.boolileo&hl=ko&gl=US,불릴레오,1490540795,https://apps.apple.com/kr/app/%EB%B6%88%EB%A6%B4%EB%A0%88%EC%98%A4/id1490540795
fint,com.dco.fint,https://play.google.com/store/apps/details?id=com.dco.fint&hl=ko&gl=US,핀트-fint,1434650965,https://apps.apple.com/kr/app/%ED%95%80%ED%8A%B8-fint/id1434650965
fount,co.fount.litchi,https://play.google.com/store/apps/details?id=co.fount.litchi&hl=ko&gl=US,파운트,1353293520,https://apps.apple.com/kr/app/%ED%8C%8C%EC%9A%B4%ED%8A%B8/id1353293520
maplus,com.dunamu.mapplus,https://play.google.com/store/apps/details?id=com.dunamu.mapplus&hl=ko&gl=US,맵플러스-maplus,1461736075,https://apps.apple.com/kr/app/%EB%A7%B5%ED%94%8C%EB%9F%AC%EC%8A%A4-maplus/id1461736075
quarterback,com.qbi.roboadvisor,https://play.google.com/store/apps/details?id=com.qbi.roboadvisor&hl=ko&gl=US,쿼터백,1437500252,https://apps.apple.com/kr/app/%EC%BF%BC%ED%84%B0%EB%B0%B1/id1437500252
